"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",1413 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",994989 
"",4. TENDERED VOTES ,"","",13 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1576 ,AVERAGE ,ELECTORS PER POLLING S,TATION 802 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC P., Balram ,"",394447 
"",RUNER-UP CPI Ku,nja Srinivasa, Rao ,325490 
"",MARGIN 68957 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :17 
"",Constituency :Khammam ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,13 ,2 ,15 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,2 ,0 ,2 
"",4. CONTESTED ,11 ,2 ,13 
"",5. FORFEITED DEPOSIT ,10 ,1 ,11 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,622745 ,636882 ,1259627 
"",2. SERVICE ,152 ,36 ,188 
"",3. TOTAL ,622897 ,636918 ,1259815 
"",III.VOTERS ,"","",""
"",1. GENERAL ,511629 ,517445 ,1029074 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",4935 
"",4. TOTAL ,"","",1034009 
"",III(A). POLLING PERCENTAGE 82.08 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",523 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1033486 
"",4. TENDERED VOTES ,"","",39 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1408 ,AVERAGE ,ELECTORS PER POLLING S,TATION 894 
"","DATE(s) OF RE-POLL, IF ANY : ","","",04-18-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",1 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER TDP N,ama Nageswa,ra Rao ,469368 
"",RUNER-UP INC R,enuka Chowdh,ury ,344920 
"",MARGIN 124448 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :18 
"",Constituency :Aruku ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,14 ,1 ,15 
"",2. NOMINATION REJECTED ,1 ,0 ,1 
"",3. WITHDRAWN ,3 ,0 ,3 
"",4. CONTESTED ,10 ,1 ,11 
"",5. FORFEITED DEPOSIT ,8 ,1 ,9 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,569084 ,612832 ,1181916 
"",2. SERVICE ,474 ,124 ,598 
"",3. TOTAL ,569558 ,612956 ,1182514 
"",III.VOTERS ,"","",""
"",1. GENERAL ,393733 ,394532 ,788265 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",4102 
"",4. TOTAL ,"","",792367 
"",III(A). POLLING PERCENTAGE 67.01 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",426 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",791941 
"",4. TENDERED VOTES ,"","",6 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1606 ,AVERAGE ,ELECTORS PER POLLING S,TATION 735 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Ki,shore Chandra, Suryanarayana ,360458 
"",D,eo Vyricherla ,"",""
"",RUNER-UP CPM M,idiyam Babu R,ao ,168014 
"",MARGIN 192444 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :19 
"",Constituency :Srikakulam ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,6 ,3 ,9 
"",2. NOMINATION REJECTED ,1 ,1 ,2 
"",3. WITHDRAWN ,1 ,0 ,1 
"",4. CONTESTED ,4 ,2 ,6 
"",5. FORFEITED DEPOSIT ,3 ,0 ,3 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,588829 ,632561 ,1221390 
"",2. SERVICE ,4335 ,400 ,4735 
"",3. TOTAL ,593164 ,632961 ,1226125 
"",III.VOTERS ,"","",""
"",1. GENERAL ,432881 ,481473 ,914354 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",4418 
"",4. TOTAL ,"","",918772 
"",III(A). POLLING PERCENTAGE 74.93 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",1510 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",917262 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1790 ,AVERAGE ,ELECTORS PER POLLING S,TATION 682 
"","DATE(s) OF RE-POLL, IF ANY : ","","",04-18-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",2 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Ki,lli Krupa Rani ,"",387694 
"",RUNER-UP TDP Ye,rrnnaidu Kinja,rapu ,304707 
"",MARGIN 82987 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :20 
"",Constituency :Vizianagaram ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,11 ,3 ,14 
"",2. NOMINATION REJECTED ,2 ,1 ,3 
"",3. WITHDRAWN ,1 ,1 ,2 
"",4. CONTESTED ,8 ,1 ,9 
"",5. FORFEITED DEPOSIT ,6 ,0 ,6 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,647506 ,674304 ,1321810 
"",2. SERVICE ,1154 ,274 ,1428 
"",3. TOTAL ,648660 ,674578 ,1323238 
"",III.VOTERS ,"","",""
"",1. GENERAL ,500803 ,514440 ,1015243 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",4582 
"",4. TOTAL ,"","",1019825 
"",III(A). POLLING PERCENTAGE 77.07 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",43 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1019782 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1640 ,AVERAGE ,ELECTORS PER POLLING S,TATION 805 
"","DATE(s) OF RE-POLL, IF ANY : ","","",04-18-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",1 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Jh,ansi Lakshmi ,Botcha ,411584 
"",RUNER-UP TDP Ap,palanaidu Ko,ndapalli ,351013 
"",MARGIN 60571 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :21 
"",Constituency :Visakhapatnam ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,15 ,3 ,18 
"",2. NOMINATION REJECTED ,1 ,0 ,1 
"",3. WITHDRAWN ,2 ,0 ,2 
"",4. CONTESTED ,12 ,3 ,15 
"",5. FORFEITED DEPOSIT ,10 ,2 ,12 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,692512 ,692912 ,1385424 
"",2. SERVICE ,1793 ,265 ,2058 
"",3. TOTAL ,694305 ,693177 ,1387482 
"",III.VOTERS ,"","",""
"",1. GENERAL ,503029 ,505248 ,1008277 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",3984 
"",4. TOTAL ,"","",1012261 
"",III(A). POLLING PERCENTAGE 72.96 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",2316 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1009945 
"",4. TENDERED VOTES ,"","",29 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1769 ,AVERAGE ,ELECTORS PER POLLING S,TATION 783 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC D,aggubati Puran,deswari ,368812 
"",RUNER-UP PRAP Pa,lla Srinivasa R,ao ,302126 
"",MARGIN 66686 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :22 
"",Constituency :Anakapalli ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,13 ,0 ,13 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,3 ,0 ,3 
"",4. CONTESTED ,10 ,0 ,10 
"",5. FORFEITED DEPOSIT ,7 ,0 ,7 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,644418 ,686089 ,1330507 
"",2. SERVICE ,940 ,248 ,1188 
"",3. TOTAL ,645358 ,686337 ,1331695 
"",III.VOTERS ,"","",""
"",1. GENERAL ,511085 ,532462 ,1043547 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",4607 
"",4. TOTAL ,"","",1048154 
"",III(A). POLLING PERCENTAGE 78.71 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",1053 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1047101 
"",4. TENDERED VOTES ,"","",19 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1555 ,AVERAGE ,ELECTORS PER POLLING S,TATION 855 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Sa,bbam Hari ,"",369968 
"",RUNER-UP TDP N,ookarapu Sury,a Prakasa Rao ,317056 
"",MARGIN 52912 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :23 
"",Constituency :Kakinada ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,22 ,4 ,26 
"",2. NOMINATION REJECTED ,3 ,2 ,5 
"",3. WITHDRAWN ,5 ,0 ,5 
"",4. CONTESTED ,14 ,2 ,16 
"",5. FORFEITED DEPOSIT ,11 ,2 ,13 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,625427 ,639355 ,1264782 
"",2. SERVICE ,216 ,96 ,312 
"",3. TOTAL ,625643 ,639451 ,1265094 
"",III.VOTERS ,"","",""
"",1. GENERAL ,488602 ,473269 ,961871 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",3699 
"",4. TOTAL ,"","",965570 
"",III(A). POLLING PERCENTAGE 76.32 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",1724 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",963846 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1445 ,AVERAGE ,ELECTORS PER POLLING S,TATION 875 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC M,.M.Pallamraju,"",323607 
"",RUNER-UP PRAP C,halamalasetty ,Sunil ,289563 
"",MARGIN 34044 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :24 
"",Constituency :Amalapuram ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,14 ,3 ,17 
"",2. NOMINATION REJECTED ,1 ,1 ,2 
"",3. WITHDRAWN ,4 ,0 ,4 
"",4. CONTESTED ,9 ,2 ,11 
"",5. FORFEITED DEPOSIT ,8 ,0 ,8 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,631685 ,643285 ,1274970 
"",2. SERVICE ,199 ,118 ,317 
"",3. TOTAL ,631884 ,643403 ,1275287 
"",III.VOTERS ,"","",""
"",1. GENERAL ,523627 ,496732 ,1020359 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",3406 
"",4. TOTAL ,"","",1023765 
"",III(A). POLLING PERCENTAGE 80.28 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",44 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1023721 
"",4. TENDERED VOTES ,"","",22 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1449 ,AVERAGE ,ELECTORS PER POLLING S,TATION 879 
"","DATE(s) OF RE-POLL, IF ANY : ","","",04-26-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",1 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC G,.V.Harsha Kum,ar ,368501 
"",RUNER-UP PRAP Po,thula Pramee,la Devi ,328496 
"",MARGIN 40005 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :25 
"",Constituency :Rajahmundry ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,14 ,1 ,15 
"",2. NOMINATION REJECTED ,2 ,0 ,2 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,12 ,1 ,13 
"",5. FORFEITED DEPOSIT ,9 ,1 ,10 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,619794 ,640699 ,1260493 
"",2. SERVICE ,315 ,166 ,481 
"",3. TOTAL ,620109 ,640865 ,1260974 
"",III.VOTERS ,"","",""
"",1. GENERAL ,504751 ,508816 ,1013567 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",4253 
"",4. TOTAL ,"","",1017820 
"",III(A). POLLING PERCENTAGE 80.72 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",942 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1016878 
"",4. TENDERED VOTES ,"","",4 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1401 ,AVERAGE ,ELECTORS PER POLLING S,TATION 899 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Ar,una Kumar Vu,ndavalli ,357449 
"",RUNER-UP TDP M,. Murali Mohan,"",355302 
"",MARGIN 2147 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :26 
"",Constituency :Narsapuram ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,10 ,3 ,13 
"",2. NOMINATION REJECTED ,2 ,0 ,2 
"",3. WITHDRAWN ,0 ,1 ,1 
"",4. CONTESTED ,8 ,2 ,10 
"",5. FORFEITED DEPOSIT ,6 ,1 ,7 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,566869 ,605602 ,1172471 
"",2. SERVICE ,452 ,215 ,667 
"",3. TOTAL ,567321 ,605817 ,1173138 
"",III.VOTERS ,"","",""
"",1. GENERAL ,479594 ,505752 ,985346 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",5614 
"",4. TOTAL ,"","",990960 
"",III(A). POLLING PERCENTAGE 84.47 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",1445 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",989515 
"",4. TENDERED VOTES ,"","",29 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1348 ,AVERAGE ,ELECTORS PER POLLING S,TATION 870 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Ba,piraju Kanum,uru ,389422 
"",RUNER-UP TDP Th,ota Sita Rama, Lakshmi ,274732 
"",MARGIN 114690 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :27 
"",Constituency :Eluru ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,14 ,2 ,16 
"",2. NOMINATION REJECTED ,1 ,1 ,2 
"",3. WITHDRAWN ,1 ,1 ,2 
"",4. CONTESTED ,12 ,0 ,12 
"",5. FORFEITED DEPOSIT ,9 ,0 ,9 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,626020 ,649145 ,1275165 
"",2. SERVICE ,289 ,121 ,410 
"",3. TOTAL ,626309 ,649266 ,1275575 
"",III.VOTERS ,"","",""
"",1. GENERAL ,533582 ,539881 ,1073463 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",5525 
"",4. TOTAL ,"","",1078988 
"",III(A). POLLING PERCENTAGE 84.59 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",74 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1078914 
"",4. TENDERED VOTES ,"","",26 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1513 ,AVERAGE ,ELECTORS PER POLLING S,TATION 843 
"","DATE(s) OF RE-POLL, IF ANY : ","","",04-26-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",3 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Ka,vuri Sambasi,va Rao ,423777 
"",RUNER-UP TDP M,aganti Venkate,swara Rao(Babu) ,380994 
"",MARGIN 42783 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :28 
"",Constituency :Machilipatnam ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,15 ,4 ,19 
"",2. NOMINATION REJECTED ,3 ,1 ,4 
"",3. WITHDRAWN ,4 ,1 ,5 
"",4. CONTESTED ,8 ,2 ,10 
"",5. FORFEITED DEPOSIT ,5 ,2 ,7 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,610381 ,640238 ,1250619 
"",2. SERVICE ,287 ,147 ,434 
"",3. TOTAL ,610668 ,640385 ,1251053 
"",III.VOTERS ,"","",""
"",1. GENERAL ,513085 ,525756 ,1038841 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",7064 
"",4. TOTAL ,"","",1045905 
"",III(A). POLLING PERCENTAGE 83.60 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",617 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1045288 
"",4. TENDERED VOTES ,"","",17 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1500 ,AVERAGE ,ELECTORS PER POLLING S,TATION 833 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER TDP Ko,nakalla Naray,ana Rao ,409936 
"",RUNER-UP INC Ba,diga Ramakri,shna ,397480 
"",MARGIN 12456 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :29 
"",Constituency :Vijayawada ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,32 ,2 ,34 
"",2. NOMINATION REJECTED ,7 ,0 ,7 
"",3. WITHDRAWN ,5 ,2 ,7 
"",4. CONTESTED ,20 ,0 ,20 
"",5. FORFEITED DEPOSIT ,18 ,0 ,18 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,693227 ,708845 ,1402072 
"",2. SERVICE ,164 ,79 ,243 
"",3. TOTAL ,693391 ,708924 ,1402315 
"",III.VOTERS ,"","",""
"",1. GENERAL ,542392 ,541687 ,1084079 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",4218 
"",4. TOTAL ,"","",1088297 
"",III(A). POLLING PERCENTAGE 77.61 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",452 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1087845 
"",4. TENDERED VOTES ,"","",35 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1490 ,AVERAGE ,ELECTORS PER POLLING S,TATION 940 
"","DATE(s) OF RE-POLL, IF ANY : ","","",04-26-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",1 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC La,gadapati Raja, Gopal ,429394 
"",RUNER-UP TDP Va,msi Mohan V,allabhaneni ,416682 
"",MARGIN 12712 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :30 
"",Constituency :Guntur ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,15 ,3 ,18 
"",2. NOMINATION REJECTED ,2 ,0 ,2 
"",3. WITHDRAWN ,4 ,2 ,6 
"",4. CONTESTED ,9 ,1 ,10 
"",5. FORFEITED DEPOSIT ,6 ,1 ,7 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,669222 ,694034 ,1363256 
"",2. SERVICE ,1369 ,552 ,1921 
"",3. TOTAL ,670591 ,694586 ,1365177 
"",III.VOTERS ,"","",""
"",1. GENERAL ,517772 ,521498 ,1039270 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",5461 
"",4. TOTAL ,"","",1044731 
"",III(A). POLLING PERCENTAGE 76.53 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",271 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1044460 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1486 ,AVERAGE ,ELECTORS PER POLLING S,TATION 917 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC R,ayapati Samba,siva Rao ,403937 
"",RUNER-UP TDP M,adala Rajendr,a ,364582 
"",MARGIN 39355 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :31 
"",Constituency :Narasaraopet ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,20 ,1 ,21 
"",2. NOMINATION REJECTED ,1 ,1 ,2 
"",3. WITHDRAWN ,5 ,0 ,5 
"",4. CONTESTED ,14 ,0 ,14 
"",5. FORFEITED DEPOSIT ,12 ,0 ,12 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,665728 ,693934 ,1359662 
"",2. SERVICE ,579 ,190 ,769 
"",3. TOTAL ,666307 ,694124 ,1360431 
"",III.VOTERS ,"","",""
"",1. GENERAL ,540727 ,536360 ,1077087 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",4789 
"",4. TOTAL ,"","",1081876 
"",III(A). POLLING PERCENTAGE 79.52 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",226 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",122 
"",3. TOTAL VALID VOTES POLLED ,"","",1081528 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1519 ,AVERAGE ,ELECTORS PER POLLING S,TATION 895 
"","DATE(s) OF RE-POLL, IF ANY : ","","",04-26-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",2 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
